Escherichia coli
Pseudomonas aeruginosa
Staphylococcus aureus
Burkholderia cepacia
Klebsiella planticola
Burkholderia cenocepacia
Klebsiella pneumoniae
Listeria monocytogenes
Vibrio harveyi
Acinetobacter baumannii
Stenotrophomonas maltophilia
Bacillus subtilis
Candida spp.
Aeromonas hydrophila
Burkholderia multivorans
Streptococcus pneumoniae
Micrococcus luteus
Enteric bacteria and other eubacteria
Streptococcus epidermidis
Kocuria rhizophila
Proteus mirabilis
Candida albicans
Serratia marcescens
Salmonella Typhi
Vibrio cholerae
Salmonella enterica
Vibrio anguillarum
Proteus vulgaris
Vibrio campbellii
Clostridium perfringens
Vibrio vulnificus
Streptococcus pneumoniae serotype 4
Burkholderia thailandensis
Enterococcus faecium
Morganella morganii
Enterobacter cloacae
Bacillus cereus
Burkholderia pseudomallei
Propionibacterium acnes
Edwardsiella tarda
Enterococcus gallinarum
Yersinia enterocolitica
Providencia stuartii
Achromobacter xylosoxidans
Lysinibacillus sphaericus
Pichia anomala
Candida krusei
Bacillus anthracis
Candida glabrata
Aspergillus fumigatus
